Designator,Mid X,Mid Y,Rotation,Layer
D1,228.1495,-28.448,180.0,top
D10,257.7945,-34.544,180.0,top
D11,228.113,-40.386,180.0,top
D12,235.6965,-40.386,180.0,top
D13,243.099,-40.386,180.0,top
D14,250.719,-40.386,180.0,top
D15,257.577,-40.386,180.0,top
D2,235.6965,-28.448,180.0,top
D3,243.099,-28.448,180.0,top
D4,250.6825,-28.448,180.0,top
D5,257.7945,-28.448,180.0,top
D6,228.113,-34.544,180.0,top
D7,235.733,-34.544,180.0,top
D8,243.099,-34.544,180.0,top
D9,250.719,-34.544,180.0,top
J13,231.85,-56.896,90.0,top
J14,242.01,-56.896,90.0,top
J15,236.93,-56.896,90.0,top
J16,226.77,-56.896,90.0,top
R10,258.266,-55.6,90.0,top
R11,221.182,-35.84,90.0,top
R12,234.364,-46.99,180.0,top
R13,247.624,-46.99,180.0,top
R4,221.182,-29.998,90.0,top
R5,228.066,-46.99,180.0,top
R6,240.968,-46.99,180.0,top
R8,248.614,-55.6,90.0,top
R9,253.44,-55.6,90.0,top
